Time(s),Axial drift (nm)
32.566283,45.835621
32.616308,-50.055381
32.666333,5.468516
32.716358,14.557813
32.766383,38.730569
32.816408,-12.622451
32.866433,48.769072
32.916458,-4.285633
32.966483,-20.494172
33.016508,-4.520316
33.066533,77.592026
33.116558,-63.225698
33.166583,-24.217873
33.216608,-6.365089
33.266633,-33.387638
33.316658,29.613416
33.366683,-31.517666
33.416708,20.917519
33.466733,16.627272
33.516758,29.592439
33.566783,-5.669912
33.616808,-3.710700
33.666833,9.320857
33.716858,24.883123
33.766883,7.850842
33.816908,36.305224
33.866933,-7.993678
33.916958,-20.411593
33.966983,-50.850852
34.017009,-14.757412
34.067034,34.901141
34.117059,11.273375
34.167084,-29.944736
34.217109,25.587715
34.267134,21.305234
34.317159,30.562612
34.367184,20.136836
34.417209,-0.352492
34.467234,17.673199
34.517259,33.728071
34.567284,-9.242121
34.617309,21.243413
34.667334,-13.159496
34.717359,-40.638177
34.767384,27.502081
34.817409,-45.796462
34.867434,-7.856961
34.917459,-30.348745
34.967484,4.452504
35.017509,18.373781
35.067534,9.292325
35.117559,-29.164703
35.167584,-11.842089
35.217609,-3.147097
35.267634,-69.859344
35.317659,-18.284456
35.367684,40.483899
35.417709,-54.230104
35.467734,41.074938
35.517759,27.211738
35.567784,26.574138
35.617809,-44.768667
35.667834,16.487956
35.717859,-2.860728
35.767884,72.849515
35.817909,-16.969109
35.867934,21.558037
35.917959,-26.260844
35.967984,143.044316
36.018009,-17.469037
36.068034,-20.305182
36.118059,-34.996501
36.168084,6.586395
36.218109,25.755616
36.268134,23.094770
36.318159,93.065526
36.368184,22.620411
36.418209,26.333327
36.468234,5.071345
36.518259,56.315731
36.568284,-38.216213
36.618309,62.942719
36.668334,76.260552
36.718359,52.685524
36.768384,14.836806
36.818409,22.524831
36.868434,15.837320
36.918459,-38.505322
36.968484,-7.283764
37.018509,-71.794283
37.068534,-10.232387
37.118559,-23.290512
37.168584,-69.222980
37.218609,-23.778986
37.268634,-6.674396
37.318659,-24.048969
37.368684,14.867891
37.418709,-7.304741
37.468734,3.137822
37.518759,-44.816355
37.568784,25.247103
37.618809,29.758635
37.668834,-7.251445
37.718859,-29.371770
37.768884,-19.604309
37.818909,-38.805311
37.868934,16.487314
37.918959,-23.239360
37.968984,-9.231004
38.019010,31.137650
38.069035,-27.859757
38.119060,-26.757907
38.169085,-21.416777
38.219110,52.419316
38.269135,21.128477
38.319160,31.007235
38.369185,-29.417400
38.419210,-12.402843
38.469235,-1.554731
38.519260,-43.387376
38.569285,-14.126033
38.619310,-1.433832
38.669335,24.768476
38.719360,2.433672
38.769385,-1.736839
38.819410,33.429433
38.869435,58.850093
38.919460,-5.140776
38.969485,-20.477168
39.019510,28.561793
39.069535,-13.994359
39.119560,-2.297805
39.169585,17.291610
39.219610,42.981548
39.269635,-34.760797
39.319660,17.352523
39.369685,27.940979
39.419710,20.335995
39.469735,5.774277
39.519760,-25.400101
39.569785,-0.049128
39.619810,-32.837020
39.669835,-55.343956
39.719860,-8.399892
39.769885,-9.435553
39.819910,62.993503
39.869935,46.778864
39.919960,-21.646478
39.969985,12.187983
40.020010,5.462417
40.070035,-3.564778
40.120060,-5.691220
40.170085,-29.494494
40.220110,9.784006
40.270135,13.720889
40.320160,15.272793
40.370185,40.340924
40.420210,-1.363443
40.470235,4.633880
40.520260,72.501930
40.570285,2.751119
40.620310,-28.341596
40.670335,40.938111
40.720360,-10.784280
40.770385,14.875845
40.820410,35.869453
40.870435,-25.221066
40.920460,22.685852
40.970485,8.037643
41.020510,-24.351285
41.070535,48.652983
41.120560,19.134271
41.170585,-9.351203
41.220610,-1.218846
41.270635,4.825738
41.320660,34.680159
41.370685,35.962071
41.420710,-25.311274
41.470735,35.309082
41.520760,39.768393
41.570785,43.659994
41.620810,20.410979
41.670835,-38.086189
41.720860,47.153612
41.770885,82.701834
41.820910,6.203679
41.870935,-0.055624
41.920960,6.051767
41.970985,25.754727
42.021011,-27.084003
42.071036,8.619209
42.121061,15.031423
42.171086,66.119678
42.221111,34.093420
42.271136,39.796343
42.321161,70.142597
42.371186,2.439227
42.421211,-27.715702
42.471236,28.239186
42.521261,22.779444
42.571286,49.556666
42.621311,4.548010
42.671336,26.756865
42.721361,62.508823
42.771386,2.090430
42.821411,7.951477
42.871436,37.427834
42.921461,35.195441
42.971486,-35.913446
43.021511,49.097914
43.071536,1.600348
43.121561,67.300568
43.171586,30.562210
43.221611,32.391583
43.271636,19.848526
43.321661,-35.074810
43.371686,-2.182773
43.421711,11.257794
43.471736,41.077878
43.521761,21.746217
43.571786,13.325233
43.621811,-20.778049
43.671836,24.825478
43.721861,-9.281670
43.771886,18.244256
43.821911,1.543280
43.871936,34.754295
43.921961,37.363893
43.971986,-3.141479
44.022011,61.480332
44.072036,5.474261
44.122061,1.474441
44.172086,-10.747652
44.222111,25.995853
44.272136,-18.417947
44.322161,-8.066348
44.372186,18.537366
44.422211,-28.706786
44.472236,-34.454168
44.522261,5.118186
44.572286,53.418756
44.622311,61.561035
44.672336,32.519267
44.722361,-33.915979
44.772386,20.976790
44.822411,33.018935
44.872436,56.909903
44.922461,50.044682
44.972486,56.705829
45.022511,26.438661
45.072536,26.883424
45.122561,68.899854
45.172586,82.119233
45.222611,52.379228
45.272636,8.813751
45.322661,103.504928
45.372686,-33.247100
45.422711,20.852155
45.472736,15.210429
45.522761,41.771049
45.572786,-30.527835
45.622811,37.627835
45.672836,61.584851
45.722861,2.959693
45.772886,43.794971
45.822911,8.775996
45.872936,54.925553
45.922961,93.020238
45.972986,-16.166837
46.023012,70.155497
46.073037,-17.426357
46.123062,-16.240596
46.173087,44.450503
46.223112,15.913931
46.273137,-20.297740
46.323162,17.490361
46.373187,-60.941652
46.423212,-61.777679
46.473237,9.905275
46.523262,-8.893625
46.573287,19.564758
46.623312,-19.643095
46.673337,-77.158437
46.723362,27.281374
46.773387,36.826364
46.823412,30.581114
46.873437,27.102478
46.923462,76.346904
46.973487,-33.568695
47.023512,30.817731
47.073537,71.361740
47.123562,34.901184
47.173587,2.300827
47.223612,-1.039078
47.273637,-11.609129
47.323662,-13.024434
47.373687,13.918210
47.423712,11.291983
47.473737,-34.061036
47.523762,42.856510
47.573787,60.355624
47.623812,31.617109
47.673837,44.290661
47.723862,-0.049545
47.773887,48.182939
47.823912,12.980851
47.873937,-5.102957
